1,Chrome,Windows10,30:01.0,1
2,Chrome,Windows10,35:49.2,1
3,Safari,iPhone,42:05.7,1
4,Safari,iPhone,56:33.8,1
5,Chrome,Windows10,59:36.6,2
6,Chrome,Windows10,34:37.3,1
7,Chrome,Windows10,39:16.6,2
8,Chrome,Windows10,41:58.5,2
10,Chrome,Windows10,44:40.6,2
11,Chrome,Windows10,52:33.4,2
13,Chrome,Windows10,09:37.9,2
14,Chrome,Windows10,36:46.7,2
15,Chrome,Windows10,58:56.2,2
16,Chrome,Windows10,59:32.7,2
19,Chrome,Windows10,10:21.8,2
22,Chrome,Windows10,33:21.7,2
23,Chrome,Windows10,37:06.0,2
24,Chrome,Windows10,38:22.7,2
26,Chrome,Windows10,55:30.5,3
27,Chrome,Windows10,54:27.9,3
28,Chrome,Windows10,30:02.7,1
29,Chrome,Windows10,27:05.4,1
30,Chrome,Windows10,28:28.9,1
32,Chrome,Windows10,40:26.0,2
33,Chrome,Windows10,41:42.2,1
34,Chrome,Windows10,52:50.4,1
35,Chrome,Windows10,03:14.9,3
36,Chrome,Windows10,17:22.4,2
37,Chrome,Windows10,18:40.2,3
38,Chrome,Windows10,19:15.1,2
39,Chrome,Windows10,24:46.9,2
40,Chrome,Windows10,25:33.8,2
41,Chrome,Windows10,25:51.7,2
42,Chrome,Windows10,26:11.8,2
43,Chrome,Windows10,26:46.6,2
44,Chrome,Windows10,27:28.9,2
46,Chrome,Windows10,28:56.0,2
48,Chrome,Windows10,31:28.1,2
49,Chrome,Windows10,33:37.3,2
50,Chrome,Windows10,34:51.6,2
54,Chrome,Windows10,12:35.8,4
55,Chrome,Windows10,47:46.4,1
56,Chrome,Windows10,29:42.4,2
57,Chrome,Windows10,42:37.0,4
58,Chrome,android,21:14.4,3
59,Chrome,Windows10,26:42.3,3
60,Safari,iPhone,27:10.8,3
61,Chrome,Windows10,43:02.8,1
62,Chrome,Windows10,13:12.3,1
63,Chrome,Windows10,23:48.8,2
64,Safari,iPhone,16:31.3,2
67,Chrome,Windows10,42:14.2,2
69,Chrome,Windows10,51:08.3,2
71,Chrome,Windows10,27:51.2,1
72,Chrome,Windows10,30:15.0,1
73,Chrome,Windows10,34:22.5,2
